Step,Value,Legend
314000.0,-5.385999341108484,Pos+CNN
315000.0,-5.4346471193762405,Pos+CNN
316000.0,-5.388189898447712,Pos+CNN
317000.0,-5.308591430575345,Pos+CNN
318000.0,-5.308107962142586,Pos+CNN
319000.0,-5.327964934145014,Pos+CNN
320000.0,-5.334963322493306,Pos+CNN
321000.0,-5.3189667470974005,Pos+CNN
322000.0,-5.278466255201515,Pos+CNN
323000.0,-5.215242772496676,Pos+CNN
324000.0,-5.199472818510819,Pos+CNN
325000.0,-5.141315545688305,Pos+CNN
326000.0,-5.170408163217427,Pos+CNN
327000.0,-5.133223952909645,Pos+CNN
328000.0,-5.116161220229983,Pos+CNN
329000.0,-5.070695924072915,Pos+CNN
330000.0,-5.189533278290411,Pos+CNN
331000.0,-5.186075014568151,Pos+CNN
332000.0,-5.1833896682281715,Pos+CNN
333000.0,-5.140748791231558,Pos+CNN
334000.0,-5.205896128929807,Pos+CNN
335000.0,-5.1530295394175205,Pos+CNN
336000.0,-5.091334280689289,Pos+CNN
337000.0,-5.051431453678751,Pos+CNN
338000.0,-5.031633208822266,Pos+CNN
339000.0,-4.985746247668568,Pos+CNN
340000.0,-4.946304478192855,Pos+CNN
341000.0,-4.972371202754281,Pos+CNN
342000.0,-4.9530759582369885,Pos+CNN
343000.0,-4.911189982590764,Pos+CNN
344000.0,-4.893090033365095,Pos+CNN
345000.0,-4.899548731884523,Pos+CNN
346000.0,-4.869578886537855,Pos+CNN
347000.0,-4.868923328403285,Pos+CNN
348000.0,-4.987494745830166,Pos+CNN
349000.0,-4.95588555438369,Pos+CNN
350000.0,-4.959876817245256,Pos+CNN
351000.0,-4.951953319400571,Pos+CNN
352000.0,-4.994936092998108,Pos+CNN
353000.0,-4.9654528171720544,Pos+CNN
354000.0,-4.986133666570716,Pos+CNN
355000.0,-4.96717526033416,Pos+CNN
356000.0,-5.000185468188423,Pos+CNN
357000.0,-4.975033119789683,Pos+CNN
358000.0,-4.939494669137723,Pos+CNN
359000.0,-4.902064570499868,Pos+CNN
360000.0,-4.889410682795186,Pos+CNN
361000.0,-4.834097110096467,Pos+CNN
362000.0,-4.863626504660308,Pos+CNN
363000.0,-4.934975838149217,Pos+CNN
364000.0,-4.900317037811276,Pos+CNN
365000.0,-4.9584311211853,Pos+CNN
366000.0,-4.970000388871763,Pos+CNN
367000.0,-4.951546188710707,Pos+CNN
368000.0,-4.92070085673794,Pos+CNN
369000.0,-4.946754675366497,Pos+CNN
370000.0,-4.9436400832683995,Pos+CNN
371000.0,-4.976608969455321,Pos+CNN
372000.0,-4.97190333883076,Pos+CNN
373000.0,-4.928506889006532,Pos+CNN
374000.0,-4.852899718441551,Pos+CNN
375000.0,-4.9237791456283,Pos+CNN
376000.0,-4.9182273953781355,Pos+CNN
377000.0,-4.963798664921973,Pos+CNN
378000.0,-4.983874002862703,Pos+CNN
379000.0,-4.923048647026514,Pos+CNN
380000.0,-4.919564461898089,Pos+CNN
381000.0,-4.8965824021714095,Pos+CNN
382000.0,-4.868042730800937,Pos+CNN
383000.0,-4.89731327130099,Pos+CNN
384000.0,-4.922332384805032,Pos+CNN
385000.0,-4.850915644257408,Pos+CNN
386000.0,-4.8292910923607,Pos+CNN
387000.0,-4.760743879928639,Pos+CNN
388000.0,-4.784217725666093,Pos+CNN
389000.0,-4.839173618900917,Pos+CNN
390000.0,-4.845555425436034,Pos+CNN
391000.0,-4.788719899170794,Pos+CNN
392000.0,-4.764451069014806,Pos+CNN
393000.0,-4.751999203621011,Pos+CNN
394000.0,-4.7096551547902115,Pos+CNN
395000.0,-4.721511669549786,Pos+CNN
396000.0,-4.713838271512359,Pos+CNN
397000.0,-4.753067846698643,Pos+CNN
398000.0,-4.705722631834872,Pos+CNN
399000.0,-4.697639416388453,Pos+CNN
400000.0,-4.704579855198852,Pos+CNN
401000.0,-4.667851173813574,Pos+CNN
402000.0,-4.612055219946962,Pos+CNN
403000.0,-4.631070440860319,Pos+CNN
404000.0,-4.628212478318951,Pos+CNN
405000.0,-4.566543437273487,Pos+CNN
406000.0,-4.515226002901421,Pos+CNN
407000.0,-4.506552806050722,Pos+CNN
408000.0,-4.49498210849721,Pos+CNN
409000.0,-4.458063808850852,Pos+CNN
410000.0,-4.453538852317916,Pos+CNN
411000.0,-4.389161367728906,Pos+CNN
412000.0,-4.409203631221122,Pos+CNN
413000.0,-4.368500484438662,Pos+CNN
414000.0,-4.439099622509209,Pos+CNN
415000.0,-4.520822033389669,Pos+CNN
416000.0,-4.555258093127656,Pos+CNN
417000.0,-4.562020010706381,Pos+CNN
418000.0,-4.605556497582562,Pos+CNN
419000.0,-4.519671949871707,Pos+CNN
420000.0,-4.544315870078317,Pos+CNN
421000.0,-4.566076617139892,Pos+CNN
